b_chalcis_chalcis;Chalkis;;;;;;;;;;;;;;x
b_dion_chalcis;Dion;;;;;;;;;;;;;;x
b_aidepsos_chalcis;Aidepsos;;;;;;;;;;;;;;x
b_argoura_chalcis;Argoura;;;;;;;;;;;;;;x
b_histiaia_chalcis;Histiaia;;;;;;;;;;;;;;x
b_poseidion_chalcis;Poseidion;;;;;;;;;;;;;;x
b_kerinthos_chalcis;Kerinthos;;;;;;;;;;;;;;x
b_eretria_eretria;Eretria;;;;;;;;;;;;;;x
b_tamynai_eretria;Tamynai;;;;;;;;;;;;;;x
b_karystos_eretria;Karystos;;;;;;;;;;;;;;x
b_styra_eretria;Styra;;;;;;;;;;;;;;x
b_palaeopolis_andros;Palaiopolis;;;;;;;;;;;;;;x
b_delos_andros;Delos;;;;;;;;;;;;;;x
b_karthaia_andros;Karthaia;;;;;;;;;;;;;;x
b_mykonos_andros;Mykonos;;;;;;;;;;;;;;x
b_naxos_naxos;Naxos;;;;;;;;;;;;;;x
b_paros_naxos;Paros;;;;;;;;;;;;;;x
b_ios_naxos;Ios;;;;;;;;;;;;;;x
b_arkesine_naxos;Arkesine;;;;;;;;;;;;;;x
b_same_cephalonia;Same;;;;;;;;;;;;;;x
b_ithaca_cephalonia;Ithake;;;;;;;;;;;;;;x
b_pronnoi_cephalonia;Pronnoi;;;;;;;;;;;;;;x
b_zakynthos_cephalonia;Zakynthos;;;;;;;;;;;;;;x
b_corcyra_corfu;Corcyra;;;;;;;;;;;;;;x
b_artemis_corfu;Artemis;;;;;;;;;;;;;;x
b_kassiope_corfu;Kassiope;;;;;;;;;;;;;;x
b_kydonia_kydonia;Kydonia;;;;;;;;;;;;;;x
b_sybrita_kydonia;Sybrita;;;;;;;;;;;;;;x
b_lappa_kydonia;Lappa;;;;;;;;;;;;;;x
b_rhithymna_kydonia;Rhithymna;;;;;;;;;;;;;;x
b_eleutherna_kydonia;Eleutherna;;;;;;;;;;;;;;x
b_minoa_kydonia;Minoa;;;;;;;;;;;;;;x
b_polyrrenia_kydonia;Polyrrenia;;;;;;;;;;;;;;x
b_knossos_knossos;Knossos;;;;;;;;;;;;;;x
b_plati_knossos;Plati;;;;;;;;;;;;;;x
b_gortyn_knossos;Gortyn;;;;;;;;;;;;;;x
b_praisos_knossos;Praisos;;;;;;;;;;;;;;x
b_olous_knossos;Olous;;;;;;;;;;;;;;x
b_itanos_knossos;Itanos;;;;;;;;;;;;;;x
b_hierapytna_knossos;Hierapytna;;;;;;;;;;;;;;x
b_potidaio_karpathos;Potidaio;;;;;;;;;;;;;;x
b_arkesia_karpathos;Arkesia;;;;;;;;;;;;;;x
b_nisiros_karpathos;Nisiros;;;;;;;;;;;;;;x
b_rhodos_rhodos;Rhodos;;;;;;;;;;;;;;x
b_lindos_rhodos;Lindos;;;;;;;;;;;;;;x
b_ialyssos_rhodos;Ialyssos;;;;;;;;;;;;;;x
b_kameiros_rhodos;Kameiros;;;;;;;;;;;;;;x
b_kos_kos;Kos;;;;;;;;;;;;;;x
b_nisyros_kos;Nisyros;;;;;;;;;;;;;;x
b_telos_kos;Telos;;;;;;;;;;;;;;x
b_antimachia_kos;Antimachia;;;;;;;;;;;;;;x
b_pothaia_kos;Pothaia;;;;;;;;;;;;;;x
b_leros_kos;Leros;;;;;;;;;;;;;;x
b_samos_samos;Samos;;;;;;;;;;;;;;x
b_korsiai_samos;Korsiai;;;;;;;;;;;;;;x
b_histoi_samos;Histoi;;;;;;;;;;;;;;x
b_drakanon_samos;Drakanon;;;;;;;;;;;;;;x
b_chios_chios;Chios;;;;;;;;;;;;;;x
b_kardamyle_chios;Kardamyle;;;;;;;;;;;;;;x
b_psyra_chios;Psyra;;;;;;;;;;;;;;x
b_babrantion_chios;Babrantion;;;;;;;;;;;;;;x
b_mytilene_lesbos;Mytilene;;;;;;;;;;;;;;x
b_therma_lesbos;Therma;;;;;;;;;;;;;;x
b_eresos_lesbos;Eresos;;;;;;;;;;;;;;x
b_arisba_lesbos;Arisba;;;;;;;;;;;;;;x
b_sigron_lesbos;Sigron;;;;;;;;;;;;;;x
b_pyrra_lesbos;Pyrra;;;;;;;;;;;;;;x
b_hiera_lesbos;Hiera;;;;;;;;;;;;;;x
