# CASUS BELLI
TRIBUTARY_LEAGUE_NAME;League Member;;;;;;;;;;;;;;x
TRIBUTARY_LEAGUE_PLURAL;League Members;;;;;;;;;;;;;;x
SUZERAIN_LEAGUE_NAME;League Leader;;;;;;;;;;;;;;x
TRIBUTARY_LEAGUE_TRIBUTE;League Dues;;;;;;;;;;;;;;x

# LAWS
dk_league_membership;League Membership;;;;;;;;;;;;;;x
dk_league_membership_desc;This set of laws determines whether members are free to leave the league.;;;;;;;;;;;;;;x
dk_league_membership_0;Free League Membership;;;;;;;;;;;;;;x
dk_league_membership_0_option;Free;;;;;;;;;;;;;;x
dk_league_membership_0_desc;League members are free to leave the league.;;;;;;;;;;;;;;x
dk_league_membership_1;Restricted League Membership;;;;;;;;;;;;;;x
dk_league_membership_1_option;Restricted;;;;;;;;;;;;;;x
dk_league_membership_1_desc;League members are unable to leave the league, but can assert their independence through war.;;;;;;;;;;;;;;x

# DECISIONS
dk_form_league;Form league;;;;;;;;;;;;;;x
dk_form_league_desc;Propose to form a league with §Y[Root.PrimaryTitle.GetName]§!. Historically, small greek polities united in league to work together on a military, economic, diplomatic and religious level while preserving the autonomy of the city state.\n\nIn game this translates into a tributary state that does not have to provide any gold but is obliged to provide its army to the leader. In exchange the leader pledges to defend each member.;;;;;;;;;;;;;;x
dk_invite_to_league;Invite to league;;;;;;;;;;;;;;x
dk_invite_to_league_desc;Invite §Y[Root.PrimaryTitle.GetName]§! to join your league.;;;;;;;;;;;;;;x
dk_join_league;Join league;;;;;;;;;;;;;;x
dk_join_league_desc;Ask to join the league of §Y[Root.PrimaryTitle.GetName]§!.;;;;;;;;;;;;;;x
dk_disband_league;Disband league;;;;;;;;;;;;;;x
dk_disband_league_desc;The league no longer suits our purpose. We can disband it at will.;;;;;;;;;;;;;;x
dk_leave_league;Leave league;;;;;;;;;;;;;;x
dk_leave_league_desc;Announce your decision to leave the league to the leader of the league.;;;;;;;;;;;;;;x
dk_remove_member_from_league;Remove [Root.PrimaryTitle.GetName] from the league;;;;;;;;;;;;;;x
dk_remove_member_from_league_desc;Remove [Root.GetFirstName] from the league as [Root.GetSheHe] is no longer of use to us.;;;;;;;;;;;;;;x

# TOOLTIPS
DK_FORM_LEAGUE_AS_LEADER;§G[Root.PrimaryTitle.GetName] will become a member in your league§!;;;;;;;;;;;;;;x
DK_FORM_LEAGUE_AS_MEMBER;§FYou will become a member in the league of [Root.PrimaryTitle.GetName]§!;;;;;;;;;;;;;;x
DK_INVITE_MEMBER_TO_LEAGUE;§G[Root.PrimaryTitle.GetName] will be invited to your league§!;;;;;;;;;;;;;;x
DK_JOIN_LEAGUE_PROPOSAL;§G[Root.PrimaryTitle.GetName] will consider your proposal to join their league§!;;;;;;;;;;;;;;x
DK_TOOLTIP_DISBAND_LEAGUE_ANNOUNCEMENT;§FLeague members will be informed about your decision.§!;;;;;;;;;;;;;;x
DK_TOOLTIP_LEAVE_LEAGUE_ANNOUNCEMENT;§F[Root.GetFirstName] will be informed about your decision.§!;;;;;;;;;;;;;;x
DK_TOOLTIP_REMOVE_LEAGUE_MEMBER_ANNOUNCEMENT;§F[Root.GetFirstName] will be informed about your decision.§!;;;;;;;;;;;;;;x
DK_CHARACTER_ALREADY_IN_LEAGUE;§Y[Root.GetTitledName]§! is already in a league.;;;;;;;;;;;;;;x
DK_CHARACTER_IS_TRIBUTARY;§Y[Root.GetTitledName]§! is a tributary.;;;;;;;;;;;;;;x
DK_TOOLTIP_LEAGUE_MEMBERSHIP_IS_FREE;§YThe league of [Root.PrimaryTitle.GetName] allows members to leave voluntarily.§!;;;;;;;;;;;;;;x

# EVENTS
