GOD_AMUN;Amun;;;;;;;;;;;;;x
GOD_HORUS;Horus;;;;;;;;;;;;;x
GOD_MAAT;Ma'at;;;;;;;;;;;;;x
GOD_ISIS;Isis;;;;;;;;;;;;;x
GOD_OSIRIS;Osiris;;;;;;;;;;;;;x
GOD_RA;Ra;;;;;;;;;;;;;x
GOD_SET;Set;;;;;;;;;;;;;x
GOD_THOTH;Thoth;;;;;;;;;;;;;x
egyptian_religion;Egyptian;;;;;;;;;;;;;x
kemetic;Kemetic;;;;;;;;;;;;;x
THE_BOOK_OF_THE_DEAD;The Book of the Dead;;;;;;;;;;;;;x
GOD_NEITH;Neith;;;;;;;;;;;;;x
GOD_AMENT;Ament;;;;;;;;;;;;;x
GOD_AMUN;Amun;;;;;;;;;;;;;x
GOD_TANIT;Tanit;;;;;;;;;;;;;x
GOD_GURZIL;Gurzil;;;;;;;;;;;;;x
GOD_IFRI;Ifri;;;;;;;;;;;;;x
north_african_religion;North African;;;;;;;;;;;;;x
berber_main;Berber;;;;;;;;;;;;;x
GOD_IRIA;Iria;Iria;;;;;;;;;;;;x
GOD_BORIA;Boria;Boria;;;;;;;;;;;;x
GOD_MALESOCUS;Malesocus;Malesocus;;;;;;;;;;;;x
GOD_EIA;Eia;Eia;;;;;;;;;;;;x
illyrian_religion;Illyrian;Illyrian;;;;;;;;;;;;x
illyrian_main;Illyrian;Illyrian;;;;;;;;;;;;x
GOD_SABAZIOS;Sabazios;;;;;;;;;;;;x;
GOD_ZIBELTHIURDOS;Zibelthiurdos;;;;;;;;;;;;x;
GOD_KOTYS;Kotys;;;;;;;;;;;;x;
GOD_BENDIS;Bendis;;;;;;;;;;;;x;
GOD_ZALMOXIS;Zalmoxis;;;;;;;;;;;;x;
daco_thracian_religion;Daco-Thracian;;;;;;;;;;;;x;
thracian_main;Thracian;;;;;;;;;;;;x;
zalmoxism;Zalmoxian;;;;;;;;;;;;x;
GOD_AMBISAGRUS;Ambisagrus;;;;;;;;;;;;;x
GOD_ANEXTIOMARUS;Anextiomarus;;;;;;;;;;;;;x
GOD_ANKOU;Ankou;;;;;;;;;;;;;x
GOD_CERNUNNOS;Cernunnos;;;;;;;;;;;;;x
GOD_LENUS;Lenus;;;;;;;;;;;;;x
GOD_LEUCETIOS;Leucetios;;;;;;;;;;;;;x
